------------------------- 2017-11-27 08:23:27.302946 -------------------------
SUCCESS:气象学, all_fenlei size:5653, rest in work_list:5265
SUCCESS:火灾, all_fenlei size:5659, rest in work_list:5270
SUCCESS:灾难, all_fenlei size:5671, rest in work_list:5281
SUCCESS:股票, all_fenlei size:5678, rest in work_list:5287
SUCCESS:证券, all_fenlei size:5688, rest in work_list:5296
SUCCESS:星云, all_fenlei size:5688, rest in work_list:5295
SUCCESS:物理, all_fenlei size:5732, rest in work_list:5338
SUCCESS:相对论, all_fenlei size:5732, rest in work_list:5337
SUCCESS:技术, all_fenlei size:5732, rest in work_list:5336
SUCCESS:宇宙天文, all_fenlei size:5735, rest in work_list:5338
SUCCESS:宇宙学, all_fenlei size:5737, rest in work_list:5339
SUCCESS:地理名胜, all_fenlei size:5740, rest in work_list:5341
SUCCESS:自然奇观, all_fenlei size:5740, rest in work_list:5340
SUCCESS:大气, all_fenlei size:5741, rest in work_list:5340
SUCCESS:美术史, all_fenlei size:5749, rest in work_list:5347
SUCCESS:工艺美术, all_fenlei size:5754, rest in work_list:5351
SUCCESS:民间美术, all_fenlei size:5754, rest in work_list:5350
SUCCESS:花鸟画, all_fenlei size:5754, rest in work_list:5349
SUCCESS:山水画, all_fenlei size:5754, rest in work_list:5348
SUCCESS:人物画, all_fenlei size:5754, rest in work_list:5347
SUCCESS:连环画, all_fenlei size:5754, rest in work_list:5346
SUCCESS:岩画, all_fenlei size:5755, rest in work_list:5346
SUCCESS:油画, all_fenlei size:5762, rest in work_list:5352
SUCCESS:绘画作品, all_fenlei size:5762, rest in work_list:5351
SUCCESS:中国画, all_fenlei size:5772, rest in work_list:5360
SUCCESS:绘画术语, all_fenlei size:5774, rest in work_list:5361
SUCCESS:绘画工具, all_fenlei size:5774, rest in work_list:5360
SUCCESS:插画, all_fenlei size:5777, rest in work_list:5362
SUCCESS:壁画, all_fenlei size:5786, rest in work_list:5370
SUCCESS:年画, all_fenlei size:5787, rest in work_list:5370
SUCCESS:版画, all_fenlei size:5789, rest in work_list:5371
SUCCESS:宋代, all_fenlei size:5801, rest in work_list:5382
SUCCESS:艺术, all_fenlei size:5801, rest in work_list:5381
SUCCESS:绘画, all_fenlei size:5802, rest in work_list:5381
